item	Power Grid Management	Mechanics	CPU Management
Datacore - Amarrian Starship Engineering	0	1	0
Datacore - Caldari Starship Engineering	0	1	0
Datacore - Core Subsystems Engineering	1	0	0
Datacore - Defensive Subsystems Engineering	0	0	1
Datacore - Electromagnetic Physics	0	0	1
Datacore - Electronic Engineering	0	0	1
Datacore - Gallentean Starship Engineering	0	1	0
Datacore - Graviton Physics	1	0	0
Datacore - High Energy Physics	1	0	0
Datacore - Hydromagnetic Physics	1	0	0
Datacore - Laser Physics	1	0	0
Datacore - Mechanical Engineering	0	1	0
Datacore - Minmatar Starship Engineering	0	1	0
Datacore - Molecular Engineering	0	1	0
Datacore - Nanite Engineering	0	0	1
Datacore - Nuclear Physics	1	0	0
Datacore - Offensive Subsystems Engineering	1	0	0
Datacore - Plasma Physics	1	0	0
Datacore - Propulsion Subsystems Engineering	1	0	0
Datacore - Quantum Physics	1	0	0
Datacore - Rocket Science	0	1	0
