category	reduction
Administration Hub	0
Advanced Artillery Ammo	0
Advanced Autocannon Ammo	0
Advanced Beam Laser Crystal	0
Advanced Blaster Charge	0
Advanced Capital Construction Components	0
Advanced Cruise Missile	0
Advanced Exotic Plasma Charge	0
Advanced Heavy Assault Missile	0
Advanced Heavy Missile	0
Advanced Light Missile	0
Advanced Pulse Laser Crystal	0
Advanced Railgun Charge	0
Advanced Rocket	0
Advanced Torpedo	0
Advanced XL Cruise Missile	0
Advanced XL Torpedo	0
Advertisement Center	0
Ancillary Armor Repairer	0
Ancillary Remote Armor Repairer	0
Ancillary Remote Shield Booster	0
Ancillary Shield Booster	0
Arkonor	0
Armor Coating	0
Armor Command Burst Charges	0
Armor Hardener	0
Armor Reinforcer	0
Armor Repair Unit	0
Armor Resistance Shift Hardener	0
Assault Frigate	0
Assembly Array	0
Attack Battlecruiser	0
Audit Log Secure Container	0
Auto-Targeting Cruise Missile	0
Auto-Targeting Heavy Missile	0
Auto-Targeting Light Missile	0
Automated Targeting System	0
Auxiliary Power Core	0
Ballistic Control system	0
Battleship	0
Beacon	0
Bistot	0
Black Ops	0
Blockade Runner	0
Bomb	0
Bomb ECM	0
Bomb Energy	0
Booster	0
Burst Jammer	0
Burst Projectors	0
CPU Enhancer	4.2
Capacitor Battery	0
Capacitor Booster	0
Capacitor Booster Charge	0
Capacitor Flux Coil	0
Capacitor Power Relay	0
Capacitor Recharger	0
Capital Construction Components	0
Capital Industrial Ship	0
Capital Sensor Array	0
Cargo Container	0
Cargo Scanner	0
Carrier	0
Citadel	0
Cloaking Device	0
Clone	0
Clone Vat Bay	0
Combat Battlecruiser	0
Combat Drone	0
Combat Recon Ship	0
Command Burst	0
Command Destroyer	0
Command Ship	0
Commodities	0
Compression Array	0
Construction Components	0
Construction Platform	0
Control Tower	0
Core Systems	0
Corporate Hangar Array	0
Corvette	0
Countermeasure Launcher	0
Covert Beacon	0
Covert Ops	0
Crokite	0
Cruise Missile	0
Cruiser	0
Cyber Scanning	0
Cyberimplant	0
Cynosural Field Generator	0
Cynosural Generator Array	0
Cynosural System Jammer	0
Damage Control	0
Dark Ochre	0
Data Interfaces	0
Data Miners	0
Deep Space Transport	0
Defender Missiles	0
Defensive Systems	0
Depricated Subsystems	0
Destroyer	0
Dreadnought	0
Drone Control Range Module	0
Drone Damage Modules	0
Drone Navigation Computer	0
Drone Tracking Enhancer	0
Drone Tracking Modules	0
ECCM	0
ECM	0
ECM Stabilizer	0
Electronic Attack Ship	0
Electronic Warfare Battery	0
Electronic Warfare Drone	0
Encounter Surveillance System	0
Energized Armor Membrane	0
